"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_13_MIA_GB",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",2,"7-J.Sanders kicks 62 yards from MIA 35 to GB 3. 25-K.Nixon to GB 46 for 43 yards (7-J.Sanders). GB-26-C.Ballentine was injured during the play.",1,"15:00",NA,0,35,"kickoff",0,"GB","MIA",0,0.546261787414551,0.453738212585449,0,0.0337146520614624,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",3,"(14:53) (Shotgun) 8-J.Jacobs up the middle to GB 47 for 1 yard (20-J.Brooks).",1,"14:53",1,10,54,"run",1,"GB","MIA",0,0.579976439476013,0.420023560523987,0.0337146520614624,-0.0179634094238281,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",4,"(14:15) PENALTY on GB-85-T.Kraft, False Start, 5 yards, enforced at GB 47 - No Play.",1,"14:15",2,9,53,"no_play",0,"GB","MIA",0,0.562013030052185,0.437986969947815,-0.0179634094238281,-0.0155549049377441,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",5,"(13:52) (Shotgun) 10-J.Love pass incomplete deep right to 11-J.Reed.",1,"13:52",2,14,58,"pass",0,"GB","MIA",0,0.546458125114441,0.453541874885559,-0.0155549049377441,-0.0359123945236206,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",6,"(13:45) (Shotgun) 10-J.Love sacked at GB 32 for -10 yards (92-Z.Sieler). FUMBLES (92-Z.Sieler) [92-Z.Sieler], RECOVERED by MIA-93-C.Campbell at GB 35. 93-C.Campbell to GB 33 for 2 yards (74-E.Jenkins). The Replay Official reviewed the fumble ruling, and the play was REVERSED. (Shotgun) 10-J.Love pass incomplete short left to 85-T.Kraft [92-Z.Sieler].",1,"13:45",3,14,58,"pass",0,"GB","MIA",0,0.51054573059082,0.48945426940918,-0.0359123945236206,-0.0224924981594086,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",7,"(13:40) 19-D.Whelan punts 45 yards to MIA 13, Center-42-M.Orzech. 83-M.Washington MUFFS catch, RECOVERED by GB-22-R.Rochell at MIA 9.",1,"13:40",4,14,58,"punt",0,"GB","MIA",0,0.488053232431412,0.511946767568588,-0.0224924981594086,0.196164935827255,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",8,"(13:30) 8-J.Jacobs left guard to MIA 3 for 6 yards (21-J.Poyer; 11-T.Dodson).",1,"13:30",1,9,9,"run",6,"GB","MIA",0,0.684218168258667,0.315781831741333,0.196164935827255,0.0141000747680664,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",9,"(12:48) (Shotgun) 8-J.Jacobs left guard to MIA 3 for no gain (11-T.Dodson).",1,"12:48",2,3,3,"run",0,"GB","MIA",0,0.698318243026733,0.301681756973267,0.0141000747680664,-0.0252916216850281,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",10,"(12:05) 10-J.Love pass short right to 11-J.Reed for 3 yards, TOUCHDOWN [93-C.Campbell].",1,"12:05",3,3,3,"pass",3,"GB","MIA",0,0.673026621341705,0.326973378658295,-0.0252916216850281,0.0244890489755429,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",11,"17-B.McManus extra point is GOOD, Center-42-M.Orzech, Holder-19-D.Whelan.",1,"12:00",NA,0,15,"extra_point",0,"GB","MIA",6,0.697515670317248,0.302484329682752,0.0244890489755429,0.00177979086057767,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",12,"17-B.McManus kicks 65 yards from GB 35 to end zone, Touchback to the MIA 30.",1,"12:00",NA,0,35,"kickoff",0,"MIA","GB",-7,0.699295461177826,0.300704538822174,0.00177979086057767,0.00602006912231445,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",13,"(12:00) (Shotgun) PENALTY on MIA-9-J.Smith, False Start, 5 yards, enforced at MIA 30 - No Play.",1,"12:00",1,10,70,"no_play",0,"MIA","GB",-7,0.693275392055511,0.306724607944489,-0.00602006912231445,-0.0151544511318207,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",14,"(12:00) (Shotgun) 1-T.Tagovailoa pass short right to 28-D.Achane to MIA 36 for 11 yards (58-I.McDuffie).",1,"12:00",1,15,75,"pass",11,"MIA","GB",-7,0.708429843187332,0.291570156812668,0.0151544511318207,0.0244921445846558,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",15,"(11:20) (Shotgun) 1-T.Tagovailoa pass short right to 28-D.Achane pushed ob at MIA 43 for 7 yards (25-K.Nixon).",1,"11:20",2,4,64,"pass",7,"MIA","GB",-7,0.683937698602676,0.316062301397324,-0.0244921445846558,0.021207869052887,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",16,"(10:57) (No Huddle, Shotgun) 1-T.Tagovailoa sacked at MIA 31 for -12 yards (55-K.Enagbare). PENALTY on GB-52-R.Gary, Defensive Offside, 5 yards, enforced at MIA 43 - No Play.",1,"10:57",1,10,57,"no_play",0,"MIA","GB",-7,0.662729829549789,0.337270170450211,-0.021207869052887,0.00582623481750488,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",17,"(10:29) (Shotgun) PENALTY on MIA-89-J.Hill, False Start, 5 yards, enforced at MIA 48 - No Play.",1,"10:29",1,5,52,"no_play",0,"MIA","GB",-7,0.656903594732285,0.343096405267715,-0.00582623481750488,-0.00582623481750488,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",18,"(10:05) 28-D.Achane up the middle to MIA 42 for -1 yards (58-I.McDuffie).",1,"10:05",1,10,57,"run",-1,"MIA","GB",-7,0.662729829549789,0.337270170450211,0.00582623481750488,-0.0280874073505402,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",19,"(9:21) (Shotgun) 1-T.Tagovailoa up the middle to MIA 39 for -3 yards (90-L.Van Ness). PENALTY on MIA-9-J.Smith, Unnecessary Roughness, 15 yards, enforced at MIA 39.",1,"09:21",2,11,58,"run",-3,"MIA","GB",-7,0.69081723690033,0.30918276309967,0.0280874073505402,-0.0522680580615997,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",20,"(8:46) (Shotgun) 31-R.Mostert right end to MIA 27 for 3 yards (52-R.Gary).",1,"08:46",3,29,76,"run",3,"MIA","GB",-7,0.743085294961929,0.256914705038071,0.0522680580615997,-0.0145711451768875,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",21,"(8:00) 16-J.Bailey punts 49 yards to GB 24, Center-46-Z.Triner, out of bounds.",1,"08:00",4,26,73,"punt",0,"MIA","GB",-7,0.757656440138817,0.242343559861183,0.0145711451768875,0.0113437622785568,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",22,"(7:53) 10-J.Love pass short right to 85-T.Kraft to GB 33 for 9 yards (20-J.Brooks).",1,"07:53",1,10,76,"pass",9,"GB","MIA",7,0.74631267786026,0.25368732213974,-0.0113437622785568,0.0315756797790527,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",23,"(7:14) (Shotgun) 8-J.Jacobs left guard to GB 35 for 2 yards (11-T.Dodson; 21-J.Poyer).",1,"07:14",2,1,67,"run",2,"GB","MIA",7,0.777888357639313,0.222111642360687,0.0315756797790527,-0.0054667592048645,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",24,"(6:30) (Shotgun) 10-J.Love pass incomplete deep middle to 13-D.Wicks (4-K.Kohou). MIA-4-K.Kohou was injured during the play.",1,"06:30",1,10,65,"pass",0,"GB","MIA",7,0.772421598434448,0.227578401565552,-0.0054667592048645,-0.013149082660675,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",25,"(6:23) 10-J.Love pass short middle to 8-J.Jacobs to GB 42 for 7 yards (11-T.Dodson).",1,"06:23",2,10,65,"pass",7,"GB","MIA",7,0.759272515773773,0.240727484226227,-0.013149082660675,-0.00143152475357056,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",26,"(5:56) (No Huddle, Shotgun) 10-J.Love pass short left to 85-T.Kraft to MIA 41 for 17 yards (24-C.Smith).",1,"05:56",3,3,58,"pass",17,"GB","MIA",7,0.757840991020203,0.242159008979797,-0.00143152475357056,0.0341863632202148,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",27,"(5:15) 8-J.Jacobs right end to MIA 39 for 2 yards (8-J.Holland).",1,"05:15",1,10,41,"run",2,"GB","MIA",7,0.792027354240417,0.207972645759583,0.0341863632202148,-0.00280940532684326,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",28,"(4:35) (Shotgun) 8-J.Jacobs up the middle to MIA 28 for 11 yards (36-S.Duck; 21-J.Poyer).",1,"04:35",2,8,39,"run",11,"GB","MIA",7,0.789217948913574,0.210782051086426,-0.00280940532684326,0.018052875995636,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",29,"(3:51) 8-J.Jacobs right end to MIA 27 for 1 yard (56-Q.Bell).",1,"03:51",1,10,28,"run",1,"GB","MIA",7,0.80727082490921,0.19272917509079,0.018052875995636,-0.0098680853843689,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",30,"(3:09) (Shotgun) 31-Em.Wilson right guard to MIA 22 for 5 yards (21-J.Poyer).",1,"03:09",2,9,27,"run",5,"GB","MIA",7,0.797402739524841,0.202597260475159,-0.0098680853843689,0.00804126262664795,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",31,"(2:25) (Shotgun) 31-Em.Wilson right tackle to MIA 7 for 15 yards (21-J.Poyer).",1,"02:25",3,4,22,"run",15,"GB","MIA",7,0.805444002151489,0.194555997848511,0.00804126262664795,0.0396348834037781,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",32,"(1:40) 8-J.Jacobs right guard to MIA 1 for 6 yards (20-J.Brooks; 91-E.Ogbah).",1,"01:40",1,7,7,"run",6,"GB","MIA",7,0.845078885555267,0.154921114444733,0.0396348834037781,0.00804018974304199,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",33,"(:59) 8-J.Jacobs left guard for 1 yard, TOUCHDOWN.",1,"00:59",2,1,1,"run",1,"GB","MIA",7,0.853119075298309,0.146880924701691,0.00804018974304199,-0.00605893582995409,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",34,"17-B.McManus extra point is GOOD, Center-42-M.Orzech, Holder-19-D.Whelan.",1,"00:55",NA,0,15,"extra_point",0,"GB","MIA",13,0.847060139468355,0.152939860531645,-0.00605893582995409,0.000446204850034659,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",35,"17-B.McManus kicks 65 yards from GB 35 to end zone, Touchback to the MIA 30.",1,"00:55",NA,0,35,"kickoff",0,"MIA","GB",-14,0.84750634431839,0.15249365568161,0.000446204850034659,0.00371572375297546,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",36,"(:55) (Shotgun) 1-T.Tagovailoa pass short right to 9-J.Smith to MIA 41 for 11 yards (25-K.Nixon, 29-X.McKinney).",1,"00:55",1,10,70,"pass",11,"MIA","GB",-14,0.843790620565414,0.156209379434586,-0.00371572375297546,0.0115264654159546,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",37,"(:20) (Shotgun) 1-T.Tagovailoa pass short left to 30-A.Ingold to MIA 43 for 2 yards (21-E.Stokes).",1,"00:20",1,10,59,"pass",2,"MIA","GB",-14,0.83226415514946,0.16773584485054,-0.0115264654159546,0.00182908773422241,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",38,"END QUARTER 1",1,"00:00",NA,0,NA,NA,NA,"MIA","GB",-14,0.830435067415237,0.169564932584763,-0.00182908773422241,0,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",39,"(15:00) (Shotgun) 1-T.Tagovailoa pass short right to 30-A.Ingold to GB 44 for 13 yards (7-Q.Walker).",2,"15:00",2,8,57,"pass",13,"MIA","GB",-14,0.830435067415237,0.169564932584763,0,0.00971578061580658,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",40,"(14:20) 28-D.Achane left end to GB 31 for 13 yards (20-J.Bullard).",2,"14:20",1,10,44,"run",13,"MIA","GB",-14,0.820719286799431,0.179280713200569,-0.00971578061580658,0.0132909864187241,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",41,"(13:38) 28-D.Achane right end to GB 32 for -1 yards (7-Q.Walker, 45-Er.Wilson).",2,"13:38",1,10,31,"run",-1,"MIA","GB",-14,0.807428300380707,0.192571699619293,-0.0132909864187241,-0.0152247995138168,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",42,"(12:54) (Shotgun) 1-T.Tagovailoa pass short left to 28-D.Achane to GB 27 for 5 yards (58-I.McDuffie).",2,"12:54",2,11,32,"pass",5,"MIA","GB",-14,0.822653099894524,0.177346900105476,0.0152247995138168,0.00187180936336517,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",43,"(12:09) (Shotgun) 1-T.Tagovailoa pass short left to 10-T.Hill to GB 25 for 2 yards (58-I.McDuffie).",2,"12:09",3,6,27,"pass",2,"MIA","GB",-14,0.820781290531158,0.179218709468842,-0.00187180936336517,-0.0279025733470917,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",44,"(11:18) (Shotgun) PENALTY on MIA, Delay of Game, 5 yards, enforced at GB 25 - No Play.",2,"11:18",4,4,25,"no_play",0,"MIA","GB",-14,0.84868386387825,0.15131613612175,0.0279025733470917,-0.00727309286594391,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",45,"(11:06) (Field Goal formation) PENALTY on GB-93-T.Slaton, Neutral Zone Infraction, 5 yards, enforced at GB 30 - No Play.",2,"11:06",4,9,30,"no_play",0,"MIA","GB",-14,0.855956956744194,0.144043043255806,0.00727309286594391,0.00413604080677032,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",46,"(10:57) (Shotgun) 1-T.Tagovailoa pass deep middle to 17-J.Waddle pushed ob at GB 9 for 16 yards (21-E.Stokes).",2,"10:57",4,4,25,"pass",16,"MIA","GB",-14,0.851820915937424,0.148179084062576,-0.00413604080677032,0.0572123229503632,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",47,"(10:18) 28-D.Achane right end to GB 15 for -6 yards (53-A.Mosby).",2,"10:18",1,9,9,"run",-6,"MIA","GB",-14,0.79460859298706,0.205391407012939,-0.0572123229503632,-0.0220009088516235,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",48,"(9:36) (Shotgun) 1-T.Tagovailoa pass short left to 83-M.Washington to GB 15 for no gain (55-K.Enagbare, 95-D.Wyatt).",2,"09:36",2,15,15,"pass",0,"MIA","GB",-14,0.816609501838684,0.183390498161316,0.0220009088516235,-0.0209764540195465,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",49,"(8:51) (Shotgun) 1-T.Tagovailoa pass incomplete short middle to 31-R.Mostert.",2,"08:51",3,15,15,"pass",0,"MIA","GB",-14,0.837585955858231,0.162414044141769,0.0209764540195465,-0.0194205939769745,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",50,"(8:47) 7-J.Sanders 33 yard field goal is GOOD, Center-46-Z.Triner, Holder-16-J.Bailey.",2,"08:47",4,15,15,"field_goal",0,"MIA","GB",-14,0.857006549835205,0.142993450164795,0.0194205939769745,0.00364571809768677,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",51,"7-J.Sanders kicks 65 yards from MIA 35 to GB 0. 25-K.Nixon to GB 30 for 30 yards (45-D.Riley).",2,"08:44",NA,0,35,"kickoff",0,"GB","MIA",11,0.853360831737518,0.146639168262482,-0.00364571809768677,0.00311940908432007,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",52,"(8:38) 11-J.Reed right end to MIA 47 for 23 yards (36-S.Duck). MIA-95-B.Jones was injured during the play.",2,"08:38",1,10,70,"run",23,"GB","MIA",11,0.856480240821838,0.143519759178162,0.00311940908432007,0.0109307765960693,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",53,"(8:08) 10-J.Love pass short right to 8-J.Jacobs to MIA 44 for 3 yards (56-Q.Bell).",2,"08:08",1,10,47,"pass",3,"GB","MIA",11,0.867411017417908,0.132588982582092,0.0109307765960693,-0.00063931941986084,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",54,"(7:30) (Shotgun) 8-J.Jacobs up the middle to MIA 44 for no gain (20-J.Brooks, 92-Z.Sieler).",2,"07:30",2,7,44,"run",0,"GB","MIA",11,0.866771697998047,0.133228302001953,-0.00063931941986084,-0.0123177766799927,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",55,"(6:46) (Shotgun) 10-J.Love pass incomplete short middle to 11-J.Reed (33-S.Neal).",2,"06:46",3,7,44,"pass",0,"GB","MIA",11,0.854453921318054,0.145546078681946,-0.0123177766799927,-0.0151486396789551,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",56,"(6:43) (Shotgun) Penalty on GB, Delay of Game, declined.",2,"06:43",4,7,44,NA,NA,"GB","MIA",11,0.839305281639099,0.160694718360901,-0.0151486396789551,0,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",57,"(6:43) 19-D.Whelan punts 38 yards to MIA 6, Center-42-M.Orzech. 83-M.Washington to MIA 16 for 10 yards (45-Er.Wilson). PENALTY on MIA-33-S.Neal, Offensive Holding, 5 yards, enforced at MIA 11.",2,"06:43",4,7,44,"punt",0,"GB","MIA",11,0.839305281639099,0.160694718360901,0,-0.00674784183502197,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",58,"(6:33) 28-D.Achane left guard to MIA 7 for 1 yard (53-A.Mosby). PENALTY on GB-55-K.Enagbare, Defensive Offside, 5 yards, enforced at MIA 6 - No Play.",2,"06:33",1,10,94,"no_play",0,"MIA","GB",-11,0.832557439804077,0.167442560195923,-0.00674784183502197,0.00910569727420807,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",59,"(6:11) (Shotgun) 1-T.Tagovailoa pass short right to 31-R.Mostert to MIA 25 for 14 yards (29-X.McKinney).",2,"06:11",1,5,89,"pass",14,"MIA","GB",-11,0.823451742529869,0.176548257470131,-0.00910569727420807,0.0143266767263412,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",60,"(5:36) 28-D.Achane up the middle to MIA 25 for no gain (7-Q.Walker). PENALTY on MIA-65-R.Jones, Offensive Holding, 10 yards, enforced at MIA 25 - No Play.",2,"05:36",1,10,75,"no_play",0,"MIA","GB",-11,0.809125065803528,0.190874934196472,-0.0143266767263412,-0.0219467729330063,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",61,"(5:05) (Shotgun) 1-T.Tagovailoa pass short middle to 9-J.Smith to MIA 29 for 14 yards (29-X.McKinney).",2,"05:05",1,20,85,"pass",14,"MIA","GB",-11,0.831071838736534,0.168928161263466,0.0219467729330063,0.0168824791908264,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",62,"(4:21) (Shotgun) 1-T.Tagovailoa sacked at MIA 27 for -2 yards (90-L.Van Ness).",2,"04:21",2,6,71,"pass",-2,"MIA","GB",-11,0.814189359545708,0.185810640454292,-0.0168824791908264,-0.0224499255418777,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",63,"(3:37) (Shotgun) 1-T.Tagovailoa sacked at MIA 18 for -9 yards (55-K.Enagbare).",2,"03:37",3,8,73,"pass",-9,"MIA","GB",-11,0.836639285087585,0.163360714912415,0.0224499255418777,-0.0227805227041245,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",64,"(3:09) 16-J.Bailey punts 44 yards to GB 38, Center-46-Z.Triner, fair catch by 11-J.Reed.",2,"03:09",4,17,82,"punt",0,"MIA","GB",-11,0.85941980779171,0.14058019220829,0.0227805227041245,-0.0121814757585526,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",65,"(3:03) (Shotgun) 10-J.Love pass short middle to 13-D.Wicks to GB 46 for 8 yards (24-C.Smith; 20-J.Brooks). ** Injury Update: MIA-95-B.Jones has returned to the game.",2,"03:03",1,10,62,"pass",8,"GB","MIA",11,0.871601283550262,0.128398716449738,0.0121814757585526,0.00929683446884155,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",66,"(2:25) (Shotgun) 30-C.Brooks right tackle to MIA 36 for 18 yards (8-J.Holland).",2,"02:25",2,2,54,"run",18,"GB","MIA",11,0.880898118019104,0.119101881980896,0.00929683446884155,-0.000244855880737305,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",67,"(2:00) (Shotgun) PENALTY on GB-63-R.Walker, False Start, 5 yards, enforced at MIA 36 - No Play.",2,"02:00",1,10,36,"no_play",0,"GB","MIA",11,0.880653262138367,0.119346737861633,-0.000244855880737305,-0.00499129295349121,"GB","MIA",13,"2024-11-28","REG",3,3
"2024_13_MIA_GB",68,"(2:00) (Shotgun) 10-J.Love pass deep left to 9-C.Watson pushed ob at MIA 20 for 21 yards (24-C.Smith). Penalty on MIA-24-C.Smith, Defensive Pass Interference, declined.",2,"02:00",1,15,41,"pass",21,"GB","MIA",11,0.875661969184875,0.124338030815125,-0.00499129295349121,0.0210099816322327,"GB","MIA",13,"2024-11-28","REG",3,3
