"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_14_ATL_MIN",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.566792041063309,0.433207958936691,0,0,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",2,"16-W.Reichard kicks 65 yards from MIN 35 to end zone, Touchback to the ATL 30.",1,"15:00",NA,0,35,"kickoff",0,"ATL","MIN",0,0.566792041063309,0.433207958936691,0,0.00033828616142273,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",3,"(15:00) 7-B.Robinson left tackle to ATL 42 for 12 yards (22-H.Smith).",1,"15:00",1,10,70,"run",12,"ATL","MIN",0,0.566453754901886,0.433546245098114,-0.00033828616142273,0.021353155374527,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",4,"(14:21) (Shotgun) 7-B.Robinson right end to ATL 44 for 2 yards (90-J.Bullard).",1,"14:21",1,10,58,"run",2,"ATL","MIN",0,0.545100599527359,0.454899400472641,-0.021353155374527,-0.010645717382431,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",5,"(13:40) (Shotgun) 18-K.Cousins pass incomplete short left to 34-R.McCloud.",1,"13:40",2,8,56,"pass",0,"ATL","MIN",0,0.55574631690979,0.44425368309021,0.010645717382431,-0.0319952666759491,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",6,"(13:38) (Shotgun) 18-K.Cousins pass deep right to 1-D.Mooney to MIN 28 for 28 yards (1-S.Griffin).",1,"13:38",3,8,56,"pass",28,"ATL","MIN",0,0.587741583585739,0.412258416414261,0.0319952666759491,0.133619338274002,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",7,"(12:59) (Shotgun) 7-B.Robinson left end to MIN 33 for -5 yards (61-J.Redmond).",1,"12:59",1,10,28,"run",-5,"ATL","MIN",0,0.454122245311737,0.545877754688263,-0.133619338274002,-0.0424411296844482,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",8,"(12:14) (Shotgun) 18-K.Cousins pass short middle to 5-D.London to MIN 17 for 16 yards (15-D.Turner; 7-B.Murphy).",1,"12:14",2,15,33,"pass",16,"ATL","MIN",0,0.496563374996185,0.503436625003815,0.0424411296844482,0.0566412806510925,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",9,"(11:33) 7-B.Robinson right end to MIN 17 for no gain (15-D.Turner).",1,"11:33",1,10,17,"run",0,"ATL","MIN",0,0.439922094345093,0.560077905654907,-0.0566412806510925,-0.0153862833976746,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",10,"(10:50) (Shotgun) 18-K.Cousins pass short right to 7-B.Robinson to MIN 13 for 4 yards (52-Ji.Ward).",1,"10:50",2,10,17,"pass",4,"ATL","MIN",0,0.455308377742767,0.544691622257233,0.0153862833976746,-0.00279468297958374,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",11,"(10:09) (Shotgun) 18-K.Cousins pass short right to 34-R.McCloud to MIN 8 for 5 yards (51-B.Cashman).",1,"10:09",3,6,13,"pass",5,"ATL","MIN",0,0.458103060722351,0.541896939277649,0.00279468297958374,-0.0126259326934814,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",12,"(9:41) (No Huddle) 7-B.Robinson left guard to MIN 6 for 2 yards (7-B.Murphy; 44-J.Metellus).",1,"09:41",4,1,8,"run",2,"ATL","MIN",0,0.470728993415833,0.529271006584167,0.0126259326934814,0.065439760684967,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",13,"(9:01) (Shotgun) 25-T.Allgeier right guard for 6 yards, TOUCHDOWN.",1,"09:01",1,6,6,"run",6,"ATL","MIN",0,0.405289232730865,0.594710767269135,-0.065439760684967,0.0184517289861869,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",14,"6-Y.Koo extra point is GOOD, Center-49-L.McCullough, Holder-13-B.Pinion.",1,"08:58",NA,0,15,"extra_point",0,"ATL","MIN",6,0.386837503744679,0.613162496255321,-0.0184517289861869,0.000968030525760777,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",15,"13-B.Pinion kicks 63 yards from ATL 35 to MIN 2. 27-C.Akers to MIN 26 for 24 yards (32-K.King; 89-C.Woerner).",1,"08:58",NA,0,35,"kickoff",0,"MIN","ATL",-7,0.385869473218918,0.614130526781082,-0.000968030525760777,-0.00758111476898193,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",16,"(8:53) (Shotgun) 14-S.Darnold pass incomplete short right to 3-J.Addison (96-Z.Harrison).",1,"08:53",1,10,74,"pass",0,"MIN","ATL",-7,0.378288358449936,0.621711641550064,-0.00758111476898193,-0.01573646068573,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",17,"(8:51) 33-A.Jones left tackle to MIN 31 for 5 yards (44-T.Andersen).",1,"08:51",2,10,74,"run",5,"MIN","ATL",-7,0.362551897764206,0.637448102235794,-0.01573646068573,0.00396594405174255,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",18,"(8:15) (Shotgun) 14-S.Darnold pass deep right to 3-J.Addison pushed ob at MIN 47 for 16 yards (20-D.Alford).",1,"08:15",3,5,69,"pass",16,"MIN","ATL",-7,0.366517841815948,0.633482158184052,0.00396594405174255,0.060637503862381,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",19,"(7:49) (No Huddle, Shotgun) 33-A.Jones right end to ATL 40 for 13 yards (55-K.Elliss).",1,"07:49",1,10,53,"run",13,"MIN","ATL",-7,0.427155345678329,0.57284465432167,0.060637503862381,0.00713986158370972,"MIN","ATL",14,"2024-12-08","REG",3,3
"2024_14_ATL_MIN",20,"(7:14) 33-A.Jones up the middle to ATL 37 for 3 yards (3-J.Bates; 53-N.Landman).",1,"07:14",1,10,40,"run",3,"MIN","ATL",-7,0.434295207262039,0.565704792737961,0.00713986158370972,0.00677192211151123,"MIN","ATL",14,"2024-12-08","REG",3,3
