"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_10_CIN_BAL",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.566792041063309,0.433207958936691,0,0,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",2,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback to the CIN 30.",1,"15:00",NA,0,35,"kickoff",0,"CIN","BAL",0,0.566792041063309,0.433207958936691,0,0.00033828616142273,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",3,"(15:00) (Shotgun) 9-J.Burrow pass short left to 30-C.Brown to CIN 37 for 7 yards (29-A.Washington).",1,"15:00",1,10,70,"pass",7,"CIN","BAL",0,0.566453754901886,0.433546245098114,-0.00033828616142273,0.0159193277359009,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",4,"(14:23) 9-J.Burrow pass short middle to 1-J.Chase to CIN 43 for 6 yards (14-K.Hamilton; 0-R.Smith).",1,"14:23",2,3,63,"pass",6,"CIN","BAL",0,0.550534427165985,0.449465572834015,-0.0159193277359009,0.0129614770412445,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",5,"(13:42) 30-C.Brown up the middle to CIN 44 for 1 yard (92-N.Madubuike; 98-T.Jones).",1,"13:42",1,10,57,"run",1,"CIN","BAL",0,0.537572950124741,0.462427049875259,-0.0129614770412445,-0.0181733667850494,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",6,"(13:01) (Shotgun) 9-J.Burrow pass incomplete short right to 81-J.Burton (44-M.Humphrey).",1,"13:01",2,9,56,"pass",0,"CIN","BAL",0,0.55574631690979,0.44425368309021,0.0181733667850494,-0.0319952666759491,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",7,"(12:58) (Shotgun) 9-J.Burrow pass deep middle to 1-J.Chase to BAL 30 for 26 yards (32-M.Williams, 14-K.Hamilton).",1,"12:58",3,9,56,"pass",26,"CIN","BAL",0,0.587741583585739,0.412258416414261,0.0319952666759491,0.119338721036911,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",8,"(12:19) 30-C.Brown left end to BAL 28 for 2 yards (0-R.Smith; 95-T.Robinson).",1,"12:19",1,10,30,"run",2,"CIN","BAL",0,0.468402862548828,0.531597137451172,-0.119338721036911,-0.00118595361709595,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",9,"(11:41) (Shotgun) 30-C.Brown left guard to BAL 24 for 4 yards (69-J.Tupou).",1,"11:41",2,8,28,"run",4,"CIN","BAL",0,0.469588816165924,0.530411183834076,0.00118595361709595,-0.00622403621673584,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",10,"(11:02) (No Huddle, Shotgun) 9-J.Burrow pass short left to 80-A.Iosivas to BAL 5 for 19 yards (32-M.Williams).",1,"11:02",3,4,24,"pass",19,"CIN","BAL",0,0.47581285238266,0.52418714761734,0.00622403621673584,0.0733124613761902,"BAL","CIN",10,"2024-11-07","REG",3,3
"2024_10_CIN_BAL",11,"(10:20) (Shotgun) 9-J.Burrow pass short left to 88-M.Gesicki to BAL 2 for 3 yards (14-K.Hamilton). Baltimore challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",1,"10:20",1,5,5,"pass",3,"CIN","BAL",0,0.40250039100647,0.59749960899353,-0.0733124613761902,0.00166052579879761,"BAL","CIN",10,"2024-11-07","REG",2,3
"2024_10_CIN_BAL",12,"(9:45) (Shotgun) 9-J.Burrow pass incomplete short left to 1-J.Chase.",1,"09:45",2,2,2,"pass",0,"CIN","BAL",0,0.400839865207672,0.599160134792328,-0.00166052579879761,0.00793278217315674,"BAL","CIN",10,"2024-11-07","REG",2,3
"2024_10_CIN_BAL",13,"Timeout #2 by BAL at 09:40.",1,"09:40",NA,0,NA,"no_play",0,NA,NA,NA,0.392907083034515,0.607092916965485,-0.00793278217315674,0,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",14,"(9:40) (Shotgun) 9-J.Burrow pass incomplete short right [99-O.Oweh].",1,"09:40",3,2,2,"pass",0,"CIN","BAL",0,0.392907083034515,0.607092916965485,0,-0.0344198942184448,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",15,"(9:34) (Shotgun) 9-J.Burrow pass incomplete short middle to 30-C.Brown [99-O.Oweh]. PENALTY on BAL-21-B.Stephens, Defensive Holding, 1 yard, enforced at BAL 2 - No Play.",1,"09:34",4,2,2,"no_play",0,"CIN","BAL",0,0.42732697725296,0.57267302274704,0.0344198942184448,0.0721830725669861,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",16,"(9:27) 94-S.Hubbard and 62-M.Lee reported in as eligible. 30-C.Brown right guard for 1 yard, TOUCHDOWN.",1,"09:27",1,1,1,"run",1,"CIN","BAL",0,0.355143904685974,0.644856095314026,-0.0721830725669861,-0.0244376602603718,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",17,"2-E.McPherson extra point is GOOD, Center-48-C.Adomitis, Holder-8-R.Rehkow.",1,"09:23",NA,0,15,"extra_point",0,"CIN","BAL",6,0.379581564946346,0.620418435053654,0.0244376602603718,0.0015065017177387,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",18,"2-E.McPherson kicks 65 yards from CIN 35 to end zone, Touchback to the BAL 30.",1,"09:23",NA,0,35,"kickoff",0,"BAL","CIN",-7,0.378075063228607,0.621924936771393,-0.0015065017177387,0.00873938202857971,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",19,"(9:23) (Shotgun) 8-L.Jackson pass incomplete deep left to 7-R.Bateman (29-C.Taylor-Britt).",1,"09:23",1,10,70,"pass",0,"BAL","CIN",-7,0.386814445257187,0.613185554742813,0.00873938202857971,-0.0158796310424805,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",20,"(9:17) (Shotgun) 22-D.Henry right tackle to BAL 36 for 6 yards (22-G.Stone).",1,"09:17",2,10,70,"run",6,"BAL","CIN",-7,0.370934814214706,0.629065185785294,-0.0158796310424805,0.00353848934173584,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",21,"(8:42) (Shotgun) 43-J.Hill left guard to BAL 36 for no gain (92-B.Hill).",1,"08:42",3,4,64,"run",0,"BAL","CIN",-7,0.374473303556442,0.625526696443558,0.00353848934173584,-0.0172982215881348,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",22,"(8:01) 11-J.Stout punts 54 yards to CIN 10, Center-46-N.Moore, out of bounds.",1,"08:01",4,4,64,"punt",0,"BAL","CIN",-7,0.357175081968307,0.642824918031693,-0.0172982215881348,-0.0220110714435577,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",23,"(7:54) (Shotgun) 9-J.Burrow pass incomplete short right to 1-J.Chase [99-O.Oweh].",1,"07:54",1,10,90,"pass",0,"CIN","BAL",7,0.33516401052475,0.66483598947525,-0.0220110714435577,-0.0164816379547119,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",24,"(7:50) (Shotgun) 9-J.Burrow pass incomplete short right to 88-M.Gesicki (29-A.Washington).",1,"07:50",2,10,90,"pass",0,"CIN","BAL",7,0.351645648479462,0.648354351520538,0.0164816379547119,-0.0183302760124207,"BAL","CIN",10,"2024-11-07","REG",1,3
"2024_10_CIN_BAL",25,"Timeout #1 by CIN at 07:44.",1,"07:44",NA,0,NA,"no_play",0,NA,NA,NA,0.369975924491882,0.630024075508118,0.0183302760124207,0,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",26,"(7:44) (Shotgun) 9-J.Burrow pass incomplete deep right to 1-J.Chase. PENALTY on BAL-2-N.Wiggins, Defensive Pass Interference, 13 yards, enforced at CIN 10 - No Play.",1,"07:44",3,10,90,"no_play",0,"CIN","BAL",7,0.369975924491882,0.630024075508118,0,0.0558173060417175,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",27,"(7:39) (Shotgun) 30-C.Brown left end to CIN 30 for 7 yards (23-T.Simpson).",1,"07:39",1,10,77,"run",7,"CIN","BAL",7,0.314158618450165,0.685841381549835,-0.0558173060417175,0.00664663314819336,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",28,"(7:02) 9-J.Burrow pass short left to 30-C.Brown to CIN 37 for 7 yards (0-R.Smith).",1,"07:02",2,3,70,"pass",7,"CIN","BAL",7,0.307511985301971,0.692488014698029,-0.00664663314819336,0.0304229259490967,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",29,"(6:21) 30-C.Brown left tackle to CIN 44 for 7 yards (0-R.Smith). PENALTY on CIN-64-T.Karras, Offensive Holding, 10 yards, enforced at CIN 37 - No Play.",1,"06:21",1,10,63,"no_play",0,"CIN","BAL",7,0.277089059352875,0.722910940647125,-0.0304229259490967,-0.0382558703422546,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",30,"(5:58) (Shotgun) 9-J.Burrow pass short left to 88-M.Gesicki to CIN 36 for 9 yards (0-R.Smith).",1,"05:58",1,20,73,"pass",9,"CIN","BAL",7,0.315344929695129,0.684655070304871,0.0382558703422546,0.0165324807167053,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",31,"(5:17) (Shotgun) 9-J.Burrow pass short left to 87-T.Hudson to CIN 45 for 9 yards (23-T.Simpson).",1,"05:17",2,11,64,"pass",9,"CIN","BAL",7,0.298812448978424,0.701187551021576,-0.0165324807167053,0.0207272171974182,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",32,"(4:34) (Shotgun) 9-J.Burrow pass short left to 1-J.Chase to BAL 48 for 7 yards (21-B.Stephens).",1,"04:34",3,2,55,"pass",7,"CIN","BAL",7,0.278085231781006,0.721914768218994,-0.0207272171974182,0.00702810287475586,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",33,"(3:53) (Shotgun) 30-C.Brown left tackle to BAL 41 for 7 yards (99-O.Oweh).",1,"03:53",1,10,48,"run",7,"CIN","BAL",7,0.27105712890625,0.72894287109375,-0.00702810287475586,0.0128757357597351,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",34,"(3:13) (Shotgun) 9-J.Burrow pass incomplete short right to 80-A.Iosivas.",1,"03:13",2,3,41,"pass",0,"CIN","BAL",7,0.258181393146515,0.741818606853485,-0.0128757357597351,-0.0122655630111694,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",35,"(3:07) (Shotgun) 9-J.Burrow pass incomplete deep right to 88-M.Gesicki (14-K.Hamilton) [0-R.Smith].",1,"03:07",3,3,41,"pass",0,"CIN","BAL",7,0.270446956157684,0.729553043842316,0.0122655630111694,-0.0238731503486633,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",36,"(3:01) (Shotgun) 9-J.Burrow pass incomplete deep right to 81-J.Burton.",1,"03:01",4,3,41,"pass",0,"CIN","BAL",7,0.294320106506348,0.705679893493652,0.0238731503486633,-0.106304258108139,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",37,"(2:56) (Shotgun) PENALTY on BAL-77-D.Faalele, False Start, 5 yards, enforced at BAL 41 - No Play.",1,"02:56",1,10,59,"no_play",0,"BAL","CIN",-7,0.400624364614487,0.599375635385513,0.106304258108139,-0.00733816623687744,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",38,"(2:56) (Shotgun) 22-D.Henry right guard to BAL 40 for 4 yards (55-L.Wilson).",1,"02:56",1,15,64,"run",4,"BAL","CIN",-7,0.393286198377609,0.606713801622391,-0.00733816623687744,-0.0172094106674194,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",39,"(2:24) (Shotgun) 8-L.Jackson pass short left to 89-M.Andrews to CIN 43 for 17 yards (27-J.Battle).",1,"02:24",2,11,60,"pass",17,"BAL","CIN",-7,0.37607678771019,0.62392321228981,-0.0172094106674194,0.033622682094574,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",40,"(1:44) (Shotgun) 8-L.Jackson pass incomplete short right to 4-Z.Flowers.",1,"01:44",1,10,43,"pass",0,"BAL","CIN",-7,0.409699469804764,0.590300530195236,0.033622682094574,-0.0162161588668823,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",41,"(1:40) (Shotgun) 8-L.Jackson scrambles right end to CIN 34 for 9 yards (58-J.Ossai).",1,"01:40",2,10,43,"run",9,"BAL","CIN",-7,0.393483310937881,0.606516689062119,-0.0162161588668823,0.0219134986400604,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",42,"(1:06) (No Huddle, Shotgun) 34-K.Mitchell left tackle to CIN 34 for no gain (90-K.Jenkins; 91-T.Hendrickson). PENALTY on CIN, Defensive Too Many Men on Field, 5 yards, enforced at CIN 34 - No Play.",1,"01:06",3,1,34,"no_play",0,"BAL","CIN",-7,0.415396809577942,0.584603190422058,0.0219134986400604,0.0278293788433075,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",43,"(:46) 8-L.Jackson pass short right to 4-Z.Flowers to CIN 18 for 11 yards (27-J.Battle).",1,"00:46",1,10,29,"pass",11,"BAL","CIN",-7,0.443226188421249,0.556773811578751,0.0278293788433075,0.0183133780956268,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",44,"END QUARTER 1",1,"00:00",NA,0,NA,NA,NA,"BAL","CIN",-7,0.461539566516876,0.538460433483124,0.0183133780956268,0,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",45,"(15:00) 22-D.Henry left end ran ob at CIN 11 for 7 yards (28-J.Newton).",2,"15:00",1,10,18,"run",7,"BAL","CIN",-7,0.461539566516876,0.538460433483124,0,0.0149754285812378,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",46,"(14:30) (Shotgun) 22-D.Henry right end to CIN 12 for -1 yards (92-B.Hill).",2,"14:30",2,3,11,"run",-1,"BAL","CIN",-7,0.476514995098114,0.523485004901886,0.0149754285812378,-0.0401362180709839,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",47,"(13:47) 8-L.Jackson pass short middle to 43-J.Hill to CIN 6 for 6 yards (92-B.Hill; 24-V.Bell).",2,"13:47",3,4,12,"pass",6,"BAL","CIN",-7,0.43637877702713,0.56362122297287,-0.0401362180709839,0.0432203114032745,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",48,"(13:08) (Shotgun) 8-L.Jackson pass short right to 15-N.Agholor for 6 yards, TOUCHDOWN.",2,"13:08",1,6,6,"pass",6,"BAL","CIN",-7,0.479599088430405,0.520400911569595,0.0432203114032745,0.0766876836608513,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",49,"9-J.Tucker extra point is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",2,"13:04",NA,0,15,"extra_point",0,"BAL","CIN",-1,0.556286772091256,0.443713227908744,0.0766876836608513,0.00500501195682446,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",50,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback to the CIN 30.",2,"13:04",NA,0,35,"kickoff",0,"CIN","BAL",0,0.56129178404808,0.43870821595192,0.00500501195682446,0.00033918023109436,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",51,"(13:04) 9-J.Burrow FUMBLES (Aborted) at CIN 26, recovered by CIN-34-K.Herbert at CIN 29.",2,"13:04",1,10,70,"run",0,"CIN","BAL",0,0.560952603816986,0.439047396183014,-0.00033918023109436,-0.0275910198688507,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",52,"(12:26) (Shotgun) 9-J.Burrow pass incomplete deep right to 1-J.Chase [29-A.Washington].",2,"12:26",2,11,71,"pass",0,"CIN","BAL",0,0.588543623685837,0.411456376314163,0.0275910198688507,-0.0225887894630432,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",53,"(12:18) (Shotgun) 9-J.Burrow pass short right to 87-T.Hudson to CIN 38 for 9 yards (44-M.Humphrey).",2,"12:18",3,11,71,"pass",9,"CIN","BAL",0,0.61113241314888,0.38886758685112,0.0225887894630432,0.0294003486633301,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",54,"(11:35) 8-R.Rehkow punts 46 yards to BAL 16, Center-48-C.Adomitis, fair catch by 16-T.Wallace.",2,"11:35",4,2,62,"punt",0,"CIN","BAL",0,0.58173206448555,0.41826793551445,-0.0294003486633301,-0.00381985306739807,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",55,"(11:28) PENALTY on BAL-79-R.Stanley, False Start, 5 yards, enforced at BAL 16 - No Play.",2,"11:28",1,10,84,"no_play",0,"BAL","CIN",0,0.585551917552948,0.414448082447052,0.00381985306739807,-0.0110076665878296,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",56,"(11:28) 8-L.Jackson pass short left to 4-Z.Flowers to BAL 6 for -5 yards (29-C.Taylor-Britt).",2,"11:28",1,15,89,"pass",-5,"BAL","CIN",0,0.574544250965118,0.425455749034882,-0.0110076665878296,-0.0254046320915222,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",57,"(10:46) 22-D.Henry left end to BAL 11 for 5 yards (58-J.Ossai; 27-J.Battle).",2,"10:46",2,20,94,"run",5,"BAL","CIN",0,0.549139618873596,0.450860381126404,-0.0254046320915222,-0.00855511426925659,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",58,"(10:01) (Shotgun) 8-L.Jackson pass short right to 4-Z.Flowers to BAL 20 for 9 yards (27-J.Battle).",2,"10:01",3,15,89,"pass",9,"BAL","CIN",0,0.54058450460434,0.45941549539566,-0.00855511426925659,-0.0131734013557434,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",59,"(9:26) 11-J.Stout punts 46 yards to CIN 34, Center-46-N.Moore. 16-T.Irwin to CIN 30 for -4 yards (54-K.Welch; 28-S.Kane).",2,"09:26",4,6,80,"punt",0,"BAL","CIN",0,0.527411103248596,0.472588896751404,-0.0131734013557434,0.0335415005683899,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",60,"(9:14) (Shotgun) 30-C.Brown right tackle to CIN 33 for 3 yards (0-R.Smith).",2,"09:14",1,10,70,"run",3,"CIN","BAL",0,0.560952603816986,0.439047396183014,0.0335415005683899,-0.00729230046272278,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",61,"(8:35) (Shotgun) 9-J.Burrow pass incomplete short left to 30-C.Brown (14-K.Hamilton).",2,"08:35",2,7,67,"pass",0,"CIN","BAL",0,0.568244904279709,0.431755095720291,0.00729230046272278,-0.0229290723800659,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",62,"(8:31) (Shotgun) 9-J.Burrow scrambles left end to CIN 39 for 6 yards (0-R.Smith; 99-O.Oweh).",2,"08:31",3,7,67,"run",6,"CIN","BAL",0,0.591173976659775,0.408826023340225,0.0229290723800659,0.0100351870059967,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",63,"(7:47) (Shotgun) Direct snap to 87-T.Hudson. 87-T.Hudson up the middle to CIN 40 for 1 yard (98-T.Jones; 92-N.Madubuike).",2,"07:47",4,1,61,"run",1,"CIN","BAL",0,0.581138789653778,0.418861210346222,-0.0100351870059967,0.0462926030158997,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",64,"(7:08) (Shotgun) 9-J.Burrow pass short left to 30-C.Brown to CIN 35 for -5 yards (32-M.Williams, 53-K.Van Noy).",2,"07:08",1,10,60,"pass",-5,"CIN","BAL",0,0.534846186637878,0.465153813362122,-0.0462926030158997,-0.0385751128196716,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",65,"(6:24) (Shotgun) 9-J.Burrow pass incomplete short right to 87-T.Hudson.",2,"06:24",2,15,65,"pass",0,"CIN","BAL",0,0.57342129945755,0.42657870054245,0.0385751128196716,-0.0228495001792908,"BAL","CIN",10,"2024-11-07","REG",1,2
"2024_10_CIN_BAL",66,"(6:19) (Shotgun) 9-J.Burrow sacked at CIN 34 for -1 yards (92-N.Madubuike). FUMBLES (92-N.Madubuike) [92-N.Madubuike], ball out of bounds at CIN 34.",2,"06:19",3,15,65,"pass",-1,"CIN","BAL",0,0.596270799636841,0.403729200363159,0.0228495001792908,-0.0282536149024963,"BAL","CIN",10,"2024-11-07","REG",1,2
